PID,Name,Title,Journal,Volume,Issue,StartPage,EndPage,Year,DOI,NumberOfAuthors
1684442,"Beach, Dennis, 0000-0001-5970-5556, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden);Larsson, Staffan, 0000-0003-3901-7902, (Linköping University, Sweden)",On Developments in Ethnographic Research: The Case of Two Swedish Universities,International Journal of Qualitative Methods,21,,,,2022,10.1177/16094069221084432,2
1698719,"Nonthacumjane, Pussadee, 0000-0002-4910-0526, (Högskolan i Borås, Sweden);Maceviciute, Elena, 0000-0003-3412-2420, (Högskolan i Borås, Sweden);Wilson, Tom, 0000-0003-4941-8443, (Högskolan i Borås, Sweden)",Organizational Aspects of Collaboration on Local Information Management by Thai Provincial University Libraries,Journal of Library Administration,,,,,2022,10.1080/01930826.2022.2102380,3
1726742,"Bäcklund, Johan, 0000-0002-0652-0918, (Jönköping University, Sweden);Hugo, Martin, 0000-0002-6448-4636, (Högskolan i Borås, Sweden)(Jönköping University, Sweden);Ericson, Kerstin, , (Jönköping University, Sweden)",Pre-service teachers’ experiences of the transition from analogue to digital learning during the Covid-19 pandemic,Problems of Education in the 21st Century,80,2,273,288,2022,10.33225/pec/22.80.273,3
1724712,"Johansson, Veronica, 0000-0001-5523-0282, (Högskolan i Borås, Sweden);Nonthacumjane, Pussadee, 0000-0002-4910-0526, (Högskolan i Borås, Sweden)",Representational work and ‘reverse order’ essentialism : Digitisation of local information in Thailand and Bhabha’s Third Space,Journal of Librarianship and Information Science,55,2,515,530,2022,10.1177/09610006221143100,2
1814011,"Vigo-Arrazola, Begona, 0000-0001-9734-859, (University of Zaragoza, Spain);Beach, Dennis, 0000-0001-5970-5556, (Högskolan i Borås, Sweden)",Rural schools in light of market policies in rural schools: A meta-ethnographic analysis,Education Policy Analysis Archives,30,173,,,2022,10.14507/epaa.30.6962,2
1700379,"Danielsson, Kristina, 0000-0002-4842-7869, (Stockholm University, Sweden);Uddling, Jenny, 0000-0003-4503-9606, (Högskolan i Borås, Sweden)",Signs of Learning. Multiple Modes as Support for Interaction in a Linguistically Diverse Physics Classroom,Education Sciences,12,10,,,2022,10.3390/educsci12100662,2
1650820,"Bó, Rafaela Geschonke Dal, 0000-0001-7927-4781, (Vision College, Brazil);Zwierewicz, Marlene, 0000-0002-5840-1136, (Alto Vale do Rio do Peixe University, Brazil);Garrote Jurado, Ramon, 0000-0002-3971-9894, (Högskolan i Borås, Sweden);Velasco, Juan Miguel González, 0000-0002-3502-2539, (University of San Andrés, Bolivia);Lehmkuhl, Márcia de Souza, 0000-0003-2405-2043, (Alto Vale do Rio do Peixe University, Brazil);Baade, Joel Haroldo, 0000-0001-7353-6648, (Alto Vale do Rio do Peixe University, Brazil)",Teacher education towards educational inclusion from the perspective of master’s and doctoral research,DELTA:  Documentação de Estudos em Lingüística Teórica e Aplicada,38,1,,,2022,10.1590/1678-460x202257177,6
1718057,"Hermansson, Carina, 0000-0002-7357-0122, (Högskolan i Borås, Sweden)(Umeå University, Sweden);Norlund Shaswar, Annika, 0000-0001-9353-2249, (Umeå University, Sweden);Rosén, Jenny, 0000-0001-7937-3325, (Stockholm University, Sweden);Wedin, Åsa, 0000-0002-2992-0818, (Dalarna University, Sweden)",Teaching for a monolingual school? (In)visibility of multilingual perspectives in Swedish teacher education,Education Inquiry,13,3,321,337,2022,10.1080/20004508.2021.1885588,4
1650837,"Garrote Jurado, Ramon, 0000-0002-3971-9894, (Högskolan i Borås, Sweden);Pettersson, Tomas, 0000-0003-1956-3762 ( , Sweden);Zwierewicz, Marlene, 0000-0002-5840-1136, (Universidade Alto Vale do Rio do Peixe, Brazil);Böhme Suchara, Stephanie Cristina, 0000-0001-8825-5347, (Universidade Alto Vale do Rio do Peixe, Brazil);Leite Schaefer, Joely, 0000-0002-8478-8362, (Universidade Alto Vale do Rio do Peixe, Brazil);Pereira da Silva, Madalena, 0000-0002-8886-2822, (Universidade Alto Vale do Rio do Peixe, Brazil)(Universidade do Planalto Catarinense, Brazil)",The use of computer enhanced education: twenty years of dashed hopes,"Research, Society and Development journal",11,5,,,2022,10.33448/rsd-v11i5.28181,6
1600922,"Ekström, Björn, 0000-0003-4187-7004, (Högskolan i Borås, Sweden)",Trace data visualisation enquiry : a methodological coupling for studying information practices in relation to information systems,Journal of Documentation,78,7,141,159,2022,10.1108/jd-04-2021-0082,1
1599581,"Francke, Helena, 0000-0001-5572-8566, (Högskolan i Borås, Sweden)(Lund University, Sweden)",Trust in the academy : a conceptual framework for understanding trust on academic web profiles,Journal of Documentation,78,7,192,210,2022,10.1108/JD-01-2021-0010,1
1635553,"Riley, Franklin, , (University of Leeds, United Kingdom);Allen, David K, , (University of Leeds, United Kingdom);Wilson, Tom, 0000-0003-4941-8443, (Högskolan i Borås, Sweden)",When politicians and the experts collide : Organization and the creation of information spheres,Journal of the Association for Information Science and Technology,,,,,2022,10.1002/asi.24618,3
